Те	gi	omegaE	omegaExE	omegaEyE	omegaEzE	omegaEkE	Ediss	Be	alfaE	gammaE	deltaE	ksiE	De	bettaE	gE	Hnu0	Hnu1	Re
0.	1	1854.71	13.34	-0.172	0	0	50086.62	1.81984	1.765	-2.3	0	0	6.92	0.081	0	0	0	1.2425
716.24	6	1641.35	11.67	0	0	0	0	1.63246	1.661	0	0	0	6.44	0	0	0	0	1.3119
6434.27	3	1470.45	11.19	0.028	0	0	0	1.49852	1.634	-0.87	0	0	6.22	0	0	0	0	1.3693
8391.	2	1608.35	12.078	-0.01	0	0	0	1.61634	1.686	-0.54	0	0	6.44	0.036	0	0	0	1.3184
13312.	3	1961.6	13.7	0	0	0	0	1.87	0.	0	0	0	0.	0	0	0	0	1.23
20022.5	6	1788.22	16.44	-0.5067	0	0	0	1.7527	1.608	-12.74	0	0	6.74	0.103	0	0	0	1.2661
34261.3	2	1809.1	15.81	0	0	0	0	1.7834	1.8	0	0	0	6.8	0	0	0	0	1.2552
40796.65	6	1106.56	39.26	2.805	-0.1271	0	0	1.1922	2.42	0	0	0	6.3	0.29	0	0	0	1.5351
43239.44	1	1829.57	13.94	0	0	0	0	1.8332	1.96	0	0	0	7.32	0.03	0	0	0	1.238
55034.7	1	1671.5	40.02	0.248	0	0	0	1.7897	3.87	-5.5	0	0	8.3	0.6	0	0	0	1.2529
71045.8	3	1360.5	14.8	0	0	0	0	1.448	4.	60.	0	0	10.	0	0	0	0	1.393
73183.6	6	1458.06	0.0	0	0	0	0	1.5238	1.7	0	0	0	6.6	0	0	0	0	1.3579
75456.9	2	1557.5	0.0	0	0	0	0	1.645	1.9	0	0	0	6.	0	0	0	0	1.307
