   J |              Level  	 |
     |                           |
   0 |              0,0000       |
     |                           |
   1 |        [159855,9743297]   |
     |                           |
   0 |        [166277,440141]    |
     |                           |
   2 |        [169086,7664725]   |
   1 |        [169086,8428979]   |
   0 |        [169087,8308131]   |
     |                           |
   1 |        [171134,896946]    |
     |                           |
   1 |        [183236,79170]     |
     |                           |
   0 |        [184864,82932]     |
     |                           |
   2 |        [185564,561920]    |
   1 |        [185564,583895]    |
   0 |        [185564,854540]    |
     |                           |
   3 |        [186101,5461767]   |
   2 |        [186101,5486891]   |
   1 |        [186101,5928903]   |
     |                           |
   2 |        [186104,9666893]   |
     |                           |
   1 |        [186209,364940]    |
     |                           |
   1 |        [190298,113260]    |
     |                           |
   0 |        [190940,226355]    |
     |                           |
   2 |        [191217,040967]    |
   1 |        [191217,049963]    |
   0 |        [191217,160290]    |
     |                           |
   3 |        [191444,4809292]   |
   2 |        [191444,4821307]   |
   1 |        [191444,5006512]   |
     |                           |
   2 |        [191446,4557405]   |
     |                           |
   3 |        [191451,87394878]  |
   4 |        [191451,88108855]  |
   2 |        [191451,88970691]  |
     |                           |
   3 |        [191451,89746084]  |
     |                           |
   1 |        [191492,711909]    |
     |                           |
   1 |        [193346,991344]    |
     |                           |
   0 |        [193663,512095]    |
     |                           |
   2 |        [193800,707595]    |
   1 |        [193800,712118]    |
   0 |        [193800,767563]    |
     |                           |
   3 |        [193917,15128741]  |
   2 |        [193917,15192855]  |
   1 |        [193917,16138710]  |
     |                           |
   2 |        [193918,28990114]  |
     |                           |
   3 |        [193921,11826439]  |
   4 |        [193921,12134275]  |
   2 |        [193921,12575310]  |
     |                           |
   3 |        [193921,13088112]  |
     |                           |
   4 |        [193921,614948739] |
   5 |        [193921,617719262] |
   3 |        [193921,620238142] |
     |                           |
   4 |        [193921,621933101] |
     |                           |
   1 |        [193942,462294]    |
     |                           |
   1 |        [194936,119697]    |
