te	gi	omegaE	omegaExE	omegaEyE	omegaEzE	omegaEkE	Ediss	bE	alfaE	gammaE	deltaE	ksiE	dE	bettaE	gE	Hnu0	Hnu1	Re
0,000000	1	1854,710000	13,340000	-0,172000	0	0	50086,620000	1,819840	0,01765	-2,300000	0	0	0,00000692	0,081000	0	0	0	1,242500
716,240000	6	1641,350000	11,670000	0	0	0	0	1,632460	0,01661	0	0	0	0,00000644	0	0	0	0	1,311900
6434,270000	3	1470,450000	11,190000	0,028000	0	0	0	1,498520	0,01634	-0,870000	0	0	0,00000622	0	0	0	0	1,369300
8391,000000	2	1608,350000	12,078000	-0,010000	0	0	0	1,616340	0,01686	-0,540000	0	0	0,00000644	0,036000	0	0	0	1,318400
13312,000000	3	1961,600000	13,700000	0	0	0	0	1,870000	0	0	0	0	0	0	0	0	0	1,230000
20022,500000	6	1788,220000	16,440000	-0,506700	0	0	0	1,752700	0,01608	-12,740000	0	0	0,00000674	0,103000	0	0	0	1,266100
34261,300000	2	1809,100000	15,810000	0	0	0	0	1,783400	0,018	0	0	0	0,0000068	0	0	0	0	1,255200
40796,650000	6	1106,560000	39,260000	2,805000	-0,127100	0	0	1,192200	0,0242	0	0	0	0,0000063	0,290000	0	0	0	1,535100
43239,440000	1	1829,570000	13,940000	0	0	0	0	1,833200	0,0196	0	0	0	0,00000732	0,030000	0	0	0	1,238000
55034,700000	1	1671,500000	40,020000	0,248000	0	0	0	1,789700	0,0387	-5,500000	0	0	0,0000083	0,600000	0	0	0	1,252900
71045,800000	3	1360,500000	14,800000	0	0	0	0	1,448000	0,04	60,000000	0	0	0,00001	0	0	0	0	1,393000
73183,600000	6	1458,060000	0,000000	0	0	0	0	1,523800	0,017	0	0	0	0,0000066	0	0	0	0	1,357900
75456,900000	2	1557,500000	0,000000	0	0	0	0	1,645000	0,019	0	0	0	0,000006	0	0	0	0	1,307000
